ID,X105_LG_Bas_clean.tps,X105_LG_Bas_ID_added.tps,Amy.s.ID.number,Length,Max.Width,LMW_matlab,BASI_matlab,BASI_corrected,symmetry,form,AW,spit,activity_area,Qu_present,raw_material,SITE,Pit,Weight,Retouch,mode_of_entry,import,mode_import,Use_wear,Max_thick,BA.max.back.thick,BA.cut.edge,BA.backed.edge.1,BA.backed.edge.2,BA.backed.edge.3,no_backed_edges,pc_backed_perimeter,retouch_class,pc_backed_max_length,Area,Max_Length,Max_Width,elongation,Perimeter,Round
1212,ID=1212,ID=1212SISETBCF,AW18773,17.445,12.274,7.063,0.809744913,0.809744913,symmetrical,geometric,18773,8,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F18C,0.66,backed,Imported,Imported BA,Imported BA,No,2.89,NA,17.63,13.86,11.02,8.02,3,0.623413044,5 (>60% retouched perimeter),1.848314607,157.2,17.8,12.5,1.424,52.774,0.743
1213,ID=1213,ID=1213SIISOBCF,AW18871,12.296,5.279,5.881,0.956571243,0.956571243,symmetrical,geometric,18871,6,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F18N,0.12,backed,Imported,Imported BA,Imported BA,No,2.04,1.94,11.3,8.13,NA,NA,1,0.265851346,1 (10-29% retouched perimeter),0.630232558,46.6,12.9,5.3,2.433962264,30.581,0.423
1214,ID=1214,ID=1214SIISOBCF,AW19007,15.405,6.233,3.184,0.413372282,0.413372282,asymmetrical,geometric,19007,6,Area 3,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F26,0.26,backed,Imported,Imported BA,Imported BA,No,2.52,3.23,15.61,9.54,7.03,NA,2,0.429764498,3 (40-49% retouched perimeter),1.075974026,66.6,15.4,6.5,2.369230769,38.556,0.422
1215,ID=1215,ID=1215SIISOBCF,AW17944,19.585,10.218,6.936,0.708297166,0.708297166,symmetrical,geometric,17944,4,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F7F,0.61,backed,Imported,Imported BA,Imported BA,No,2.94,2.86,20.02,12.53,9.04,NA,2,0.393361904,2 (30-39% retouched perimeter),1.089393939,146.4,19.8,10.5,1.885714286,54.835,0.573
1216,ID=1216,ID=1216SIPROBCF,AW18789,18.712,8.983,3.791,0.405194528,0.405194528,asymmetrical,geometric,18789,6,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F18D,0.36,backed,Locally produced,CR - BA,CR - BA,No,1.96,1.63,19.27,11.94,9.99,NA,2,0.43717481,3 (40-49% retouched perimeter),1.154210526,123,19,9.8,1.93877551,50.163,0.57
1217,ID=1217,ID=1217SIPROBCF,AW18611,14.678,11.343,7.356,1.002316392,0.994685925,symmetrical,geometric,18611,6,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F7Z,0.32,backed,Locally produced,CR - BA,CR - BA,No,2.34,2.46,15.04,13.65,13,NA,2,0.604760932,5 (>60% retouched perimeter),1.81292517,96.3,14.7,12,1.225,44.067,0.89
1218,ID=1218,ID=1218SIPROBCF,AW18700,10.463,12.399,1.248,0.238554908,1,symmetrical,geometric,18700,6,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F18A,0.48,backed,Locally produced,CR - BA,CR - BA,No,2.48,2.76,10.99,13.73,12.5,NA,2,0.586486003,4 (50-59% retouched perimeter),1.599390244,107.3,16.4,10.2,1.607843137,44.724,0.671
1219,ID=1219,ID=1219SIPROBCF,AW18790,36.233,13.986,9.706,0.535754699,0.535754699,asymmetrical,backed point,18790,6,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F18D,3.16,backed,Locally produced,CR - BA,CR - BA,No,7.02,7.02,32.31,22.48,19.05,10.47,3,0.55688828,4 (50-59% retouched perimeter),1.401617251,346.1,37.1,13.8,2.688405797,93.376,0.391
1220,ID=1220,ID=1220CHPROBCF,AW18931,12.101,5.862,6.016,0.994297992,0.994297992,symmetrical,geometric,18931,6,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F21,0.24,backed,Locally produced,CR - BA,CR - BA,No,3.8,3.95,12.2,10.34,4.94,NA,2,0.495139339,3 (40-49% retouched perimeter),1.232258065,50.6,12.4,5.9,2.101694915,30.86,0.461
1221,ID=1221,ID=1221CHPROBCF,AW18663,15.93,7.794,2.93,0.367859385,0.367859385,asymmetrical,geometric,18663,6,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F17,0.59,backed,Locally produced,CR - BA,CR - BA,No,5.22,4.96,16.42,17.19,7.03,NA,2,0.559043486,4 (50-59% retouched perimeter),1.345555556,99.4,18,7.8,2.307692308,43.324,0.469
1222,ID=1222,ID=1222CHPROBCF,AW19428,17.658,8.887,5.956,0.674595084,0.674595084,symmetrical,geometric,19428,6,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F46,0.41,backed,Locally produced,CR - BA,CR - BA,No,3.41,2.2,18.27,15.51,8.19,NA,2,0.50380511,4 (50-59% retouched perimeter),1.302197802,107.2,18.2,9.4,1.936170213,47.042,0.538
1224,ID=1224,ID=1224CHPROBCF,AW19044,14.944,7.561,5.641,0.75495182,0.75495182,symmetrical,geometric,19044,4,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F28,0.35,backed,Locally produced,CR - BA,CR - BA,No,3.78,4.54,14.22,11.76,9.16,NA,2,0.514928496,4 (50-59% retouched perimeter),1.376315789,72.9,15.2,7.9,1.924050633,40.627,0.522
1225,ID=1225,ID=1225CHPROBCF,AW19043,13.497,5.351,2.004,0.296954879,0.296954879,asymmetrical,backed point,19043,4,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F28,0.19,backed,Locally produced,CR - BA,CR - BA,No,3.04,4.28,13.82,13.56,5.6,NA,2,0.535749238,4 (50-59% retouched perimeter),1.312328767,50.9,14.6,5.8,2.517241379,35.763,0.339
1226,ID=1226,ID=1226CHPROBCF,AW19410,13.861,6.043,4.602,0.664021355,0.577158935,asymmetrical,geometric,19410,6,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F45,0.15,backed,Locally produced,CR - BA,CR - BA,No,1.75,1.82,14.27,11.6,8.16,NA,2,0.54091046,4 (50-59% retouched perimeter),1.40141844,53.8,14.1,6.7,2.104477612,36.531,0.433
1227,ID=1227,ID=1227CHPROBCF,AW19318-prox,10.562,7.284,2.051,0.388373414,0.946790381,symmetrical,geometric,19318,4,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F40,0.28,backed,Locally produced,CR - BA,CR - BA,No,NA,2.69,NA,8,10,NA,2,0.521104742,4 (50-59% retouched perimeter),1.512605042,70.8,11.9,8.3,1.43373494,34.542,0.748
1228,ID=1228,ID=1228SIPROBCF,AW19351,21.365,12.271,6.217,0.581979874,0.581979874,asymmetrical,geometric,19351,6,Area 3,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F41,0.82,backed,Locally produced,CR - BA,CR - BA,No,2.71,2.21,17.52,9.36,NA,NA,1,0.160661872,1 (10-29% retouched perimeter),0.421621622,190.1,22.2,12.5,1.776,58.259,0.567
1229,ID=1229,ID=1229SIPROBCF,AW19363,21.503,5.103,2.02,0.187880761,0.187880761,asymmetrical,backed point,19363,4,Area 3,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F42,0.39,backed,Locally produced,CR - BA,CR - BA,Yes,3.48,4.05,21.67,20.41,NA,NA,1,0.369826774,2 (30-39% retouched perimeter),0.915246637,85.7,22.3,6.3,3.53968254,55.188,0.242
1230,ID=1230,ID=1230CHISOBCG,AW1682,30.96,6.889,10.636,0.687080103,0.687080103,symmetrical,backed point,1682,8,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9Y,0.53,backed,Imported,Imported BA,Imported BA,Possible,2,2.27,31.3,7.49,NA,NA,1,0.106050094,1 (10-29% retouched perimeter),0.241612903,160.6,31,7.2,4.305555556,70.627,0.214
1231,ID=1231,ID=1231SIISOBCG,AW1512,21.164,11.069,7.299,0.68975619,0.68975619,symmetrical,geometric,1512,8,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G9V,1.06,unifacial,Imported,Imported BA,Imported BA,Possible,4.74,4.55,NA,10,10,9,3,0.523749323,4 (50-59% retouched perimeter),1.342592593,167.8,21.6,11.3,1.911504425,55.37,0.531
1232,ID=1232,ID=1232SIISOBCG,AW1750,24.887,11.353,6.679,0.536746092,0.536746092,asymmetrical,geometric,1750,10,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G9Z,1.25,backed,Imported,Imported BA,Imported BA,Yes,4.54,2.95,25.19,23.67,NA,NA,1,0.359011694,2 (30-39% retouched perimeter),0.893207547,211.4,26.5,11.8,2.245762712,65.931,0.433
1233,ID=1233,ID=1233SIISOBCG,AW1490,26.815,8.365,5.632,0.420063397,0.420063397,asymmetrical,backed point,1490,8,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G9V,0.68,backed,Imported,Imported BA,Imported BA,Yes,2.75,2.86,26.94,24.16,NA,NA,1,0.375534313,2 (30-39% retouched perimeter),0.881751825,159.3,27.4,8.5,3.223529412,64.335,0.284
1234,ID=1234,ID=1234SIISOBCG,AW222,26.562,7.5,10.178,0.766357955,0.587305173,asymmetrical,backed point,222,8,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G9,0.73,backed,Imported,Imported BA,Imported BA,Yes,4.19,2.36,26.86,25.62,NA,NA,1,0.410609825,3 (40-49% retouched perimeter),0.955970149,148.6,26.8,8,3.35,62.395,0.281
1235,ID=1235,ID=1235CHISOBCG,AW1642,30.628,6.612,6.34,0.414000261,0.414000261,asymmetrical,backed point,1642,6,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9Y,0.59,backed,Imported,Imported BA,Imported BA,Possible,3.24,3.13,31.15,30.89,NA,NA,1,0.436083857,3 (40-49% retouched perimeter),0.990064103,146.4,31.2,6.9,4.52173913,70.835,0.208
1236,ID=1236,ID=1236CHISOBCG,AW1513,26.644,9.103,14.077,1.056673172,1,symmetrical,backed point,1513,8,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9V,1.49,backed,Imported,Imported BA,Imported BA,Yes,6.95,6.94,26.53,26.92,NA,NA,1,0.422115596,3 (40-49% retouched perimeter),0.986080586,164.3,27.3,8.3,3.289156627,63.774,0.279
1238,ID=1238,ID=1238SISETBCG,AW1275,23.606,8.708,11.677,0.989324748,0.989324748,symmetrical,backed point,1275,6,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G9S,0.54,backed,Imported,Imported set,Imported BA,Yes,1.98,2.14,23.3,13.66,NA,NA,1,0.230179459,1 (10-29% retouched perimeter),0.566804979,149.8,24.1,10,2.41,59.345,0.363
1239,ID=1239,ID=1239SISETBCG,AW2785,28.372,5.89,11.289,0.795784576,0.563936275,asymmetrical,backed point,2785,4,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G20D,0.39,backed,Imported,Imported set,Imported BA,Yes,2.2,1.44,28.64,11.87,NA,NA,1,0.186837922,1 (10-29% retouched perimeter),0.416491228,130.8,28.5,6.2,4.596774194,63.531,0.208
1240,ID=1240,ID=1240CHSETBCG,AW325,23.812,9.361,9.111,0.765244415,0.765244415,symmetrical,geometric,325,8,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9A,0.71,backed,Imported,Imported set,Imported BA,Possible,2.63,2.52,24.07,12.64,NA,NA,1,0.212469113,1 (10-29% retouched perimeter),0.531092437,169.1,23.8,10.2,2.333333333,59.491,0.44
1241,ID=1241,ID=1241CHSETBCG,AW1291,45.604,11.471,12.041,0.528067713,0.528067713,asymmetrical,backed point,1291,8,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9S,1.95,backed,Imported,Imported set,Imported BA,Yes,4.39,4.39,46.34,37.27,NA,NA,1,0.356988918,2 (30-39% retouched perimeter),0.813755459,345.7,45.8,11.3,4.053097345,104.401,0.229
1242,ID=1242,ID=1242CHSETBCG,AW2717,27.879,11.058,8.32,0.596865024,0.596865024,asymmetrical,geometric,2717,8,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G20B,0.98,backed,Imported,Imported set,Imported BA,Possible,3.16,2.5,28.26,11.73,NA,NA,1,0.162388903,1 (10-29% retouched perimeter),0.411578947,248.9,28.5,11.4,2.5,72.234,0.386
1243,ID=1243,ID=1243CHSETBCG,AW1240,31.496,14.07,8.35,0.53022606,0.53022606,asymmetrical,geometric,1240,6,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9R,1.72,backed,Imported,Imported set,Imported BA,Possible,3.79,3.87,31.61,26.63,NA,NA,1,0.326700363,2 (30-39% retouched perimeter),0.824458204,327.4,32.3,14.7,2.197278912,81.512,0.471
1244,ID=1244,ID=1244CHSETBCG,AW1044,16.713,7.825,0.203,0.024292467,0.024292467,asymmetrical,backed point,1044,6,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9N,0.86,backed,Imported,Imported set,Imported BA,Possible,5.86,5.45,19.02,17.96,NA,NA,1,0.362784309,2 (30-39% retouched perimeter),0.916326531,113.4,19.6,8.5,2.305882353,49.506,0.376
1245,ID=1245,ID=1245CHSETBCG,AW1460,44.271,8.794,3.687,0.16656502,0.16656502,asymmetrical,backed point,1460,6,Area 1,Chert_no_Quartz,CHERT,BCJ AREA G,G9V,1.02,backed,Imported,Imported set,Imported BA,Possible,3.59,3.34,22.95,22.06,NA,NA,1,0.353208659,2 (30-39% retouched perimeter),0.845210728,170.4,26.1,9.1,2.868131868,62.456,0.358
1246,ID=1246,ID=1246SIPROBCG,AW2243,21.485,6.072,4.373,0.407074703,0.407074703,asymmetrical,backed point,2243,8,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G18A,0.57,backed,Locally produced,CR - BA,CR - BA,Possible,4.34,3.28,21.72,22.2,NA,NA,1,0.432546177,3 (40-49% retouched perimeter),0.982300885,94.2,22.6,6.3,3.587301587,51.324,0.25
1247,ID=1247,ID=1247SIPROBCG,AW3675,26.725,6.984,8.844,0.661852198,0.583723106,asymmetrical,backed point,3675,6,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G20Z,0.44,backed,Locally produced,CR - BA,CR - BA,No,2.23,0.81,NA,14.03,NA,NA,1,0.204075696,1 (10-29% retouched perimeter),0.466112957,165.4,30.1,8,3.7625,68.749,0.259
1249,ID=1249,ID=1249SIPROBCG,AW1543,26.779,5.433,0,0,0.149370776,asymmetrical,backed point,1543,8,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G9W,0.48,backed,Locally produced,CR - BA,CR - BA,No,3.84,1.41,27.08,8.18,NA,NA,1,0.126809909,1 (10-29% retouched perimeter),0.301845018,136.8,27.1,6.8,3.985294118,64.506,0.221
1250,ID=1250,ID=1250SIPROBCG,AW866,15.741,9.989,3.405,0.432628168,0.432628168,asymmetrical,geometric,866,10,Area 1,Silcrete_no_Quartz,SILCRETE,BCJ AREA G,G9J,0.22,backed,Locally produced,CR - BA,CR - BA,No,1.17,1.29,16.21,9.56,NA,NA,1,0.199349404,1 (10-29% retouched perimeter),0.540112994,128.4,17.7,10.5,1.685714286,47.956,0.623
1254,ID=1254,ID=1254QUNAAWN4,AW35093,12.242,8.544,4.995,0.81604313,0.81604313,symmetrical,geometric,35093,4,Area 5,Quartz,QUARTZ,WCL,RI60,0.39,backed,Locally produced,CR - BA,CR - BA,No,3.21,3.21,12.09,13.23,6.16,NA,2,0.494478872,3 (40-49% retouched perimeter),1.468939394,82.6,13.2,8.5,1.552941176,39.213,0.614
1255,ID=1255,ID=1255QUNAAWN4,AW30337,16.33,7.336,6.521,0.798652786,0.489895897,asymmetrical,geometric,30337,5,Area 5,Quartz,QUARTZ,WCL,RI61,0.48,backed,Locally produced,CR - BA,CR - BA,No,3.82,3.82,17.55,9.4,6.67,NA,2,0.365892532,2 (30-39% retouched perimeter),0.939766082,88.8,17.1,7.3,2.342465753,43.92,0.404
1256,ID=1256,ID=1256QUNAAWN4,AW25095,9.191,12.265,1.862,0.405178979,0.652812534,symmetrical,geometric,25095,2,Area 5,Quartz,QUARTZ,WCL,RE58,0.75,backed,Locally produced,CR - BA,CR - BA,No,3.93,2.06,9.79,10.92,NA,NA,1,0.237489398,1 (10-29% retouched perimeter),0.723178808,132.8,15.1,12.9,1.170542636,45.981,0.912
1257,ID=1257,ID=1257QUNAAWN4,AW29000,13.982,9.929,6.041,0.864111,0.864111,symmetrical,geometric,29000,4,Area 5,Quartz,QUARTZ,WCL,RH63,0.7,backed,Locally produced,CR - BA,CR - BA,No,5.45,5.45,14.36,11.99,11.06,NA,2,0.534022195,4 (50-59% retouched perimeter),1.568027211,100.5,14.7,10.2,1.441176471,43.163,0.705
1258,ID=1258,ID=1258QUNAAWN4,AW27111,21.901,14.079,9.525,0.869823296,0.869823296,symmetrical,geometric,27111,4,Area 5,Quartz,QUARTZ,WCL,RG61,1.08,backed,Locally produced,CR - BA,CR - BA,No,3.63,3.63,22.15,12.54,13.76,NA,2,0.353489872,2 (30-39% retouched perimeter),1.301980198,186.5,20.2,13.8,1.463768116,74.401,0.725
1259,ID=1259,ID=1259SIISOWN4,AW27628,17.812,4.419,1.32,0.148214687,0.148214687,asymmetrical,backed point,27628,3,Area 5,Silcrete_Quartz_present,SILCRETE,WCL,RG67,0.18,backed,Imported,Imported BA,Imported BA,No,1.74,1.52,18.02,13.93,NA,NA,1,0.320443514,2 (30-39% retouched perimeter),0.76961326,73.9,18.1,5.7,3.175438596,43.471,0.293
1260,ID=1260,ID=1260SIISOWN4,AW34676,13.449,6.213,2.436,0.362257417,0.892259648,symmetrical,geometric,34676,5,Area 5,Silcrete_Quartz_present,SILCRETE,WCL,RO60,0.17,backed,Imported,Imported BA,Imported BA,No,1.98,1.98,13.63,6.65,7.33,NA,2,0.405264378,3 (40-49% retouched perimeter),1.059090909,59.3,13.2,7,1.885714286,34.496,0.557
1261,ID=1261,ID=1261SIISOWN4,AW28189,23.422,9.501,7.705,0.657928443,0.57211169,asymmetrical,geometric,28189,4,Area 5,Silcrete_Quartz_present,SILCRETE,WCL,RH59,0.97,backed,Imported,Imported BA,Imported BA,No,5.3,5.3,24.58,24.14,NA,NA,1,0.404368656,3 (40-49% retouched perimeter),0.985306122,159.6,24.5,10.2,2.401960784,59.698,0.392
1262,ID=1262,ID=1262SIISOWN4,AW26445,15.671,16.641,6.325,0.807223534,0.807223534,symmetrical,geometric,26445,2,Area 5,Silcrete_Quartz_present,SILCRETE,WCL,RG57,1.64,backed,Imported,Imported BA,Imported BA,Yes,6.17,2.86,15.97,17.75,NA,NA,1,0.273114739,1 (10-29% retouched perimeter),0.803167421,235.8,22.1,16.6,1.331325301,64.991,0.778
1263,ID=1263,ID=1263CHISOWN4,AW28282,20.119,15.035,4.394,0.436801034,0.436801034,asymmetrical,geometric,28282,6,Area 5,Chert_Quartz_present,CHERT,WCL,RH59,1.01,backed,Imported,Imported BA,Imported BA,No,3.68,3.44,20.39,15.64,15.47,NA,2,0.481407548,3 (40-49% retouched perimeter),1.370484581,210.3,22.7,15.5,1.464516129,64.623,0.711
1264,ID=1264,ID=1264SIISOWN4,AW26592,18.435,14.831,9.377,1.017304041,1,symmetrical,geometric,26592,7,Area 5,Silcrete_Quartz_present,SILCRETE,WCL,RG58,1.55,backed,Imported,Imported BA,Imported BA,No,5.34,4.94,18.61,17.24,12.69,NA,2,0.48906827,3 (40-49% retouched perimeter),1.504020101,209.5,19.9,15.4,1.292207792,61.198,0.771
1265,ID=1265,ID=1265SIISOWN4,AW26824,20.915,10.339,10.275,0.98254841,0.98254841,symmetrical,geometric,26824,9,Area 5,Silcrete_Quartz_present,SILCRETE,WCL,RG60,0.9,backed,Imported,Imported BA,Imported BA,Yes,3.85,3.85,21.04,11.21,7.63,NA,2,0.308898034,2 (30-39% retouched perimeter),0.822707424,175,22.9,10.6,2.160377358,60.991,0.471
1266,ID=1266,ID=1266SIISOWN4,AW30812,20.947,10.439,3.347,0.319568435,0.319568435,asymmetrical,backed point,30812,4,Area 5,Silcrete_Quartz_present,SILCRETE,WCL,RI63,1.23,backed,Imported,Imported BA,Imported BA,Yes,5.25,5.25,27.83,20.8,NA,NA,1,0.306857075,2 (30-39% retouched perimeter),0.748201439,184.7,27.8,10.8,2.574074074,67.784,0.346
